rank,Youtuber,subscribers,videoViews,videoCount,category,started
1,0,222000000,198459090822,17317,0,2006
3,1,140000000,135481339848,786,1,2006
4,2,139000000,125764252686,91271,2,2006
6,3,111000000,28469458228,4497,3,2010
7,4,102000000,16832456681,726,4,2012
8,5,99700000,79602288245,1009,5,2015
9,6,99200000,81963845811,702,5,2016
11,7,90200000,70544743313,63077,6,2007
12,8,86700000,49067711243,6603,0,2014
13,9,85100000,66498762660,472,4,2018
14,10,77100000,23881457195,5581,7,2016
15,11,76200000,24707415704,397,5,2016
17,12,74100000,18533088438,3968,8,2012
18,13,70600000,82473581441,56295,2,2007
19,14,70000000,17471090750,1787,0,2012
20,15,69700000,28567240999,247,0,2007
21,16,67800000,24013849120,971,0,2008
22,17,65900000,36576704790,2313,0,2012
23,18,63000000,17111576122,60802,4,2005
24,19,61300000,28579945247,7884,0,2010
25,20,59400000,32107290522,2374,1,2011
26,21,58100000,14742860905,297,6,2009
27,22,57700000,39266652127,506,1,2013
28,23,57600000,58839819120,39202,8,2006
29,24,55700000,13445424556,401,4,2015
30,25,55100000,52611504230,87427,2,2008
31,26,53400000,37230876862,18622,0,2014
32,27,53000000,23717869724,140,0,2007
33,28,52900000,20204939173,196497,9,2009
34,29,52800000,27883080973,3612,0,2007
35,30,52500000,24278576197,23870,0,2011
36,31,52400000,24856641898,3180,0,2009
37,32,52200000,27881781761,253,0,2006
38,33,51700000,49895247456,1309,0,2011
39,34,51600000,22158094076,146,0,2007
40,35,49800000,29013984394,553,0,2014
41,36,47600000,29366788406,3289,8,2006
42,37,47100000,25563795998,189,0,2006
43,38,46200000,11999349578,48,0,2013
44,39,46100000,13698034536,1959,3,2013
45,40,45700000,8590657189,648,1,2013
46,41,45600000,25635591765,476,1,2014
47,42,45600000,18567925780,13814,4,2014
48,43,45100000,9966728650,541,3,2011
49,44,44300000,15475571879,3512,4,2006
50,45,43900000,10058536263,4540,7,2017
51,46,43900000,4120078906,521,10,2013
52,47,43300000,7284075395,1315,4,2013
53,48,43300000,4735959546,136,4,2011
54,49,43200000,23966278157,118,0,2008
55,50,42700000,23991411417,3309,0,2009
56,51,42500000,23748805401,123,0,2014
57,52,42200000,11731228995,318,0,2012
58,53,41500000,18745015002,599,4,2017
59,54,41300000,28559341412,3963,4,2006
60,55,41200000,16717234472,645,3,2014
61,56,40800000,24558172214,10327,0,2012
62,57,40600000,47544242811,179522,5,2008
63,58,40400000,7483116325,705,3,2011
64,59,39700000,20489429972,9707,4,2007
65,60,39600000,20092128845,79,4,2005
66,61,39500000,37136069429,1989,1,2011
67,62,39200000,7691260396,1119,10,2012
68,63,38800000,17685426640,3282,4,2016
69,64,38700000,32833907997,1198,8,2011
70,65,38300000,22335550787,14404,4,2006
71,66,37800000,20454693770,1875,5,2014
72,67,37800000,14999240876,4535,11,2005
73,68,37600000,23912270526,4180,0,2014
74,69,37600000,9725253939,126,0,2015
75,70,37400000,12698961117,157,0,2010
76,71,37200000,23715669906,287,5,2005
77,72,37200000,4254148920,206,5,2016
78,73,37000000,33773658170,62039,4,2012
79,74,36800000,20479831396,423,0,2011
80,75,36500000,40932580174,821,4,2016
81,76,36300000,2948237121,178,10,2014
83,77,36000000,20838666788,163,0,2006
84,78,35900000,19083355034,847,5,2015
85,79,35900000,6660397688,185006,12,2009
86,80,35800000,20816532667,1351,5,2017
87,81,35700000,15133442317,194,10,2017
88,82,35300000,37440873935,600,1,2006
89,83,35300000,17395825825,97,0,2006
90,84,35200000,21048440606,137,0,2016
91,85,35100000,19426654260,935,2,2014
92,86,34400000,26969165355,128901,4,2013
93,87,34300000,14212434275,3171,0,2015
94,88,33600000,15934957738,630,4,2017
95,89,33600000,21489532517,134,0,2011
96,90,33500000,13775632479,1727,3,2015
97,91,33400000,14948682643,7130,3,2008
98,92,33400000,15508274562,9078,11,2009
99,93,33300000,18701808550,5200,3,2012
100,94,33300000,2725286912,540,9,1970
101,95,33200000,10421462788,224455,5,2012
102,96,33200000,5935440954,1894,3,2018
103,97,33100000,20224535670,627,5,2015
104,98,33000000,9481987642,125,0,2014
105,99,32900000,51721734476,2198,4,2015
106,100,32800000,11575367431,563,0,2016
107,101,32700000,23519452138,19383,2,2014
108,102,32700000,10436881173,1116,0,2011
109,103,32500000,20583922757,3095,3,2013
110,104,32300000,18933492606,6524,0,2011
111,105,32200000,25304311207,71075,4,2016
112,106,32100000,10676727914,191,10,2013
113,107,31900000,13417041251,237971,9,2006
114,108,31900000,26003463646,61818,4,2008
115,109,31800000,25304909929,205,0,2009
116,110,31600000,20335720484,76039,4,2014
117,111,31500000,22808879757,558,0,2013
118,112,31400000,6362416164,5453,7,2017
119,113,31000000,16582648732,9807,4,2007
120,114,30900000,14480846921,121,4,2014
121,115,30900000,11583101067,182,8,2008
122,116,30800000,22858782418,62,8,2006
123,117,30800000,25203004950,3951,0,2006
124,118,30700000,9936630200,2661,2,2006
125,119,30600000,19244430138,2008,0,2012
126,120,30500000,18636699832,338,1,2008
127,121,30500000,5134450983,2003,5,2016
128,122,30400000,13348694779,2472,0,2012
129,123,30300000,13287506122,3739,0,2006
130,124,30100000,24693346235,1771,0,2010
131,125,30000000,2673017855,110,3,2014
132,126,29900000,16006240303,7897,10,2006
133,127,29900000,4082464979,1809,4,2014
134,128,29700000,12147894890,5718,4,2013
135,129,29600000,20075386002,10826,0,2007
136,130,29600000,12599347383,11571,3,2012
137,131,29500000,11742431673,132,0,2011
139,132,29400000,13109187449,223,4,2012
140,133,29200000,23790606514,1825,1,2016
141,134,29200000,3935938048,404,10,2006
142,135,29100000,19280816380,123,0,2011
143,136,28700000,19638529002,20,0,2018
144,137,28700000,12650300730,14,0,2008
145,138,28600000,15485608801,4988,3,2007
146,139,28600000,14307239074,67,0,2009
147,140,28600000,14501468946,5927,0,2012
148,141,28600000,16201384834,4665,0,2006
149,142,28600000,9728073444,228,8,2013
150,143,28600000,4054589048,147,10,2009
151,144,28400000,14322875759,2509,8,2014
152,145,28400000,4943059589,132,3,2020
153,146,28200000,21008328965,2020,8,2013
154,147,28100000,25743323512,3131,4,2008
155,148,28100000,18421172559,160,4,2018
156,149,28100000,7193172591,839,3,2017
157,150,28000000,14967441549,3718,8,2015
158,151,28000000,13908482957,447,10,2010
159,152,27900000,9996299350,5422,4,2006
160,153,27700000,20217178677,1146,1,2015
161,154,27600000,26290731375,114067,4,2006
162,155,27400000,14040459862,121,0,2013
163,156,27200000,5094142687,2491,4,2015
164,157,27100000,17117316552,405,4,2018
165,158,27100000,2862422681,67,10,2016
166,159,26900000,16492704526,460,1,2014
167,160,26800000,12947966180,53,0,2009
168,161,26800000,4592841527,812,13,2012
169,162,26700000,12175851183,144314,9,2007
170,163,26600000,15570902183,2579,4,2014
171,164,26500000,18579474197,578,1,2016
172,165,26400000,18891028184,205,0,2013
173,166,26400000,12528940373,598,0,2008
174,167,26300000,13426911345,421,1,2014
175,168,26300000,10022194205,994,10,2011
176,169,26300000,3589276436,553,3,2016
177,170,26200000,18809615646,3603,3,2012
178,171,26100000,22661822099,19992,0,2008
179,172,26100000,7942766503,968,4,2011
180,173,25900000,19426357466,6259,0,2008
181,174,25900000,15750623413,427,4,2018
182,175,25800000,12588288710,7,0,2005
183,176,25800000,23276597783,239,0,2009
184,177,25800000,13948216340,496,0,2009
185,178,25700000,14907579962,1581,3,2011
186,179,25600000,7086413849,725,5,2012
187,180,25500000,7409442051,4251,4,2015
188,181,25500000,4371751617,185,4,2015
189,182,25400000,6901320769,3648,4,2011
190,183,25200000,17152981455,1502,0,2008
191,184,25200000,18089677017,106,0,2009
192,185,25100000,20691684541,4712,8,2012
193,186,25000000,10184035967,1366,10,2005
194,187,24900000,18786748261,98,0,2009
195,188,24900000,16477333283,114,0,2013
196,189,24900000,15717379166,234,0,2005
197,190,24900000,2583410213,672,7,2009
198,191,24800000,22679485513,171,0,2009
199,192,24700000,3060187306,1914,4,2017
200,193,24600000,15650528115,22492,0,2007
201,194,24600000,9217427023,217,5,2015
202,195,24500000,9386490086,31,0,2013
203,196,24400000,831718833,61,4,2019
204,197,24400000,7143695444,2844,8,2016
205,198,24300000,15959928823,633,0,2009
206,199,24300000,11006209206,840,8,2016
207,200,24300000,7908171009,4274,14,2012
208,201,24300000,5678834326,5650,4,2012
209,202,24300000,2224916696,298,8,2013
210,203,24200000,12492313399,51,0,2011
211,204,24200000,22605283252,16928,0,2011
212,205,24100000,2242631303,93,4,2012
213,206,24000000,5688277632,3060,5,2015
214,207,24000000,2735828023,367,7,2011
215,208,24000000,1821164544,513,5,2012
216,209,23900000,12797189774,8755,9,2016
217,210,23900000,5898102699,1242,4,2009
218,211,23900000,6368398946,251,4,2011
219,212,23900000,3687600020,406,4,2015
220,213,23900000,2447087199,1418,3,2011
221,214,23500000,15078170011,347,0,2010
222,215,23500000,5889189870,712,4,2015
223,216,23400000,7645734689,209,0,2008
224,217,23400000,13630944140,21,0,2006
225,218,23400000,10089784164,596,13,2016
226,219,23300000,12454676964,78951,4,2014
227,220,23200000,9797581328,1992,7,2015
228,221,23200000,6805551423,146479,5,2017
229,222,23100000,14762469807,1046,5,2014
230,223,23100000,15050718616,328,0,2012
231,224,23000000,5590554837,2155,4,2011
232,225,22900000,21078177585,3425,4,2006
233,226,22900000,16539033540,405,0,2007
234,227,22800000,50658927334,20482,0,2014
235,228,22800000,14239994409,5667,3,2014
236,229,22700000,7556615404,1117,8,2014
237,230,22500000,5743037460,1508,4,2006
238,231,22400000,11627613226,92,0,2016
239,232,22400000,7122122133,2409,8,2015
240,233,22300000,13424354473,990,5,2014
241,234,22300000,13337815978,237,0,2012
242,235,22300000,5869132761,1085,4,2017
243,236,22300000,5357578673,2191,3,2014
244,237,22300000,2935811566,107,13,2011
245,238,22200000,8155335430,39370,9,2015
246,239,22200000,3065204553,4609,13,2015
247,240,22100000,24128528075,13755,0,2010
248,241,22100000,16656148835,59428,4,2011
249,242,22100000,11179266145,576,4,2018
250,243,22100000,9340794746,1722,5,2015
251,244,22100000,6293790011,2456,4,2010
252,245,22000000,11550410746,266,0,2010
253,246,22000000,8261468075,413,5,2018
254,247,21900000,16356422375,1139,5,2010
255,248,21900000,13835267771,172,5,2008
256,249,21700000,9719487276,5094,4,2014
257,250,21700000,7061442001,52,0,2016
258,251,21700000,4016933296,2751,4,2006
259,252,21700000,2370380465,4005,5,2006
260,253,21600000,12150226022,144,0,2007
261,254,21600000,9790033957,503,4,2019
262,255,21500000,12148385591,21294,0,2014
263,256,21500000,6961098158,949,8,2014
264,257,21500000,6009951177,1997,3,2012
265,258,21400000,4575205400,4025,8,2013
266,259,21200000,5588648749,1569,8,2014
267,260,21200000,4357416327,403,4,2006
268,261,21100000,11922457689,973,1,2018
269,262,21100000,7382859153,2908,10,2012
270,263,21000000,12022708572,3067,3,2009
271,264,21000000,5508445771,4310,7,2016
272,265,20900000,22567064225,1594,3,2013
273,266,20900000,9928011592,164,0,2011
274,267,20900000,4934552904,3961,7,2018
275,268,20900000,1601142353,175,4,2014
